,header,dtype
0,Age,categorical
1,Attrition,categorical
2,BusinessTravel,categorical
3,DailyRate,continuous
4,Department,categorical
5,DistanceFromHome,continuous
6,Education,categorical
7,EducationField,categorical
8,EmployeeCount,categorical
9,EmployeeNumber,continuous
10,EnvironmentSatisfaction,categorical
11,Gender,categorical
12,HourlyRate,continuous
13,JobInvolvement,categorical
14,JobLevel,categorical
15,JobRole,categorical
16,JobSatisfaction,categorical
17,MaritalStatus,categorical
18,MonthlyIncome,continuous
19,MonthlyRate,continuous
20,NumCompaniesWorked,categorical
21,Over18,categorical
22,OverTime,categorical
23,PercentSalaryHike,continuous
24,PerformanceRating,categorical
25,RelationshipSatisfaction,categorical
26,StandardHours,categorical
27,StockOptionLevel,categorical
28,TotalWorkingYears,categorical
29,TrainingTimesLastYear,categorical
30,WorkLifeBalance,categorical
31,YearsAtCompany,categorical
32,YearsInCurrentRole,categorical
33,YearsSinceLastPromotion,categorical
34,YearsWithCurrManager,categorical
